"id","name","code","account_type","reconcile"
"account_account_100","Capital social","100","equity","False"
"account_account_101","Fons social","101","equity","False"
"account_account_102","Capital","102","equity","False"
"account_account_1030","Socis per desemborsaments no exigits, capital social","1030","equity","False"
"account_account_1034","Socis per desemborsaments no exigits, capital pendent d’inscripció","1034","equity","False"
"account_account_1040","Socis per aportacions no dineràries pendents, capital social","1040","equity","False"
"account_account_1044","Socis per aportacions no dineràries pendents, capital pendent d’inscripció","1044","equity","False"
"account_account_108","Accions o participacions pròpies en situacions especials","108","equity","False"
"account_account_109","Accions o participacions pròpies per a reducció de capital","109","equity","False"
"account_account_110","Prima d’emissió o assumpció","110","equity","False"
"account_account_1110","Patrimoni net per emissió d’instruments financers compostos","1110","equity","False"
"account_account_1111","Resta d’instruments de patrimoni net","111100","equity","False"
"account_account_112","Reserva legal","112","equity","False"
"account_account_113","Reserves voluntàries","113","equity","False"
"account_account_1140","Reserves per a accions o participacions de la societat dominant","1140","equity","False"
"account_account_1141","Reserves estatutàries","1141","equity","False"
"account_account_1142","Reserva per capital amortitzat","1142","equity","False"
"account_account_1143","Reserva per fons de comerç","1143","equity","False"
"account_account_1144","Reserves per accions pròpies acceptades en garantia","1144","equity","False"
"account_account_115","Reserves per pèrdues i guanys actuarials i altres ajustos","115","equity","False"
"account_account_118","Aportacions de socis o propietaris","118","equity","False"
"account_account_119","Diferències per ajust del capital a euros","119","equity","False"
"account_account_120","Romanent","120","equity","False"
"account_account_121","Resultats negatius d’exercicis anteriors","121","equity","False"
"account_account_129","Resultat de l’exercici","129","equity_unaffected","False"
"account_account_130","Subvencions oficials de capital","130","equity","False"
"account_account_131","Donacions i llegats de capital","131","equity","False"
"account_account_132","Altres subvencions, donacions i llegats","132","equity","False"
"account_account_133","Ajustos per valoració en actius financers a valor raonable amb canvis en el patrimoni net","133","equity","False"
"account_account_1340","Cobertura de fluxos d’efectiu","1340","equity","False"
"account_account_1341","Cobertura d’una inversió neta en un negoci a l’estranger","1341","equity","False"
"account_account_135","Diferències de conversió","135","equity","False"
"account_account_136","Ajustos per valoració en actius no corrents i grups alienables d’elements, mantinguts per a la venda","136","equity","False"
"account_account_1370","Ingressos fiscals per diferències permanents a distribuir en diversos exercicis","1370","equity","False"
"account_account_1371","Ingressos fiscals per deduccions i bonificacions a distribuir en diversos exercicis","1371","equity","False"
"account_account_140","Provisió per retribucions a llarg termini al personal","140","liability_non_current","True"
"account_account_141","Provisió per a impostos","141","liability_non_current","True"
"account_account_142","Provisió per a altres responsabilitats","142","liability_non_current","True"
"account_account_143","Provisió per desmantellament, retirament o rehabilitació de l’immobilitzat","143","liability_non_current","True"
"account_account_145","Provisió per a actuacions mediambientals","145","liability_non_current","True"
"account_account_146","Provisió per a reestructuracions","146","liability_non_current","True"
"account_account_147","Provisió per transaccions amb pagaments basats en instruments de patrimoni","147","liability_non_current","True"
"account_account_150","Accions o participacions a llarg termini considerades passius financers","150","liability_non_current","False"
"account_account_1533","Desemborsaments no exigits, empreses del grup","1533","liability_non_current","False"
"account_account_1534","Desemborsaments no exigits, empreses associades","1534","liability_non_current","False"
"account_account_1535","Desemborsaments no exigits, altres parts vinculades","1535","liability_non_current","False"
"account_account_1536","Altres desemborsaments no exigits","1536","liability_non_current","False"
