id,name,code,account_type,reconcile
account_full_100,Capital social,100,equity,False
account_full_1030,"Socis per desemborsaments no exigits, capital social",1030,equity,False
account_full_1034,"Socis per desemborsaments no exigits, capital pendent d’inscripció",1034,equity,False
account_full_1040,"Socis per aportacions no dineràries pendents, capital social",1040,equity,False
account_full_1044,"Socis per aportacions no dineràries pendents, capital pendent d’inscripció",1044,equity,False
account_full_1110,Patrimoni net per emissió d’instruments financers compostos,1110,equity,False
account_full_1111,Resta d’instruments de patrimoni net,111100,equity,False
account_full_1143,Reserva per fons de comerç,1143,equity,False
account_full_115,Reserves per pèrdues i guanys actuarials i altres ajustos,115,equity,False
account_common_112,Reserva legal,112,equity,False
account_common_113,Reserves voluntàries,113,equity,False
account_full_120,Romanent,120,equity,False
account_full_121,Resultats negatius d’exercicis anteriors,121,equity,False
account_full_129,Resultat de l’exercici,129,equity_unaffected,False
account_full_130,Subvencions oficials de capital,130,equity,False
account_full_132,"Altres subvencions, donacions i llegats",132,equity,False
account_full_133,Ajustos per valoració en actius financers a valor raonable amb canvis en el patrimoni net,133,equity,False
account_full_1340,Cobertura de fluxos d’efectiu,1340,equity,False
account_full_1341,Cobertura d’una inversió neta en un negoci a l’estranger,1341,equity,False
account_full_135,Diferències de conversió,135,equity,False
account_full_136,"Ajustos per valoració en actius no corrents i grups alienables d’elements, mantinguts per a la venda",136,equity,False
account_full_140,Provisió per retribucions a llarg termini al personal,140,liability_non_current,True
account_full_146,Provisió per a reestructuracions,146,liability_non_current,True
account_full_147,Provisió per transaccions amb pagaments basats en instruments de patrimoni,147,liability_non_current,True
account_common_150,Accions o participacions a llarg termini considerades passius financers,150,liability_non_current,False
account_common_171,Deutes a llarg termini,171,liability_non_current,False
account_full_1765,"Passius per derivats financers a llarg termini, cartera de negociació",1765,liability_non_current,True
account_full_1768,"Passius per derivats financers a llarg termini, instruments de cobertura",1768,liability_non_current,True
account_full_178,Obligacions i bons convertibles,178,liability_non_current,False
account_full_189,Garanties financeres a llarg termini,189,liability_non_current,False
account_full_204,Fons de comerç,204,asset_fixed,False
account_full_2403,Participacions a llarg termini en empreses del grup,2403,asset_fixed,False
account_full_2404,Participacions a llarg termini en empreses associades,2404,asset_fixed,False
account_full_2405,Participacions a llarg termini en altres parts vinculades,2405,asset_fixed,False
account_full_2493,Desemborsaments pendents sobre participacions a llarg termini en empreses del grup,2493,asset_fixed,False
account_full_2494,Desemborsaments pendents sobre participacions a llarg termini en empreses associades,2494,asset_fixed,False
account_full_2495,Desemborsaments pendents sobre participacions a llarg termini en altres parts vinculades,2495,asset_fixed,False
account_full_2550,"Actius per derivats financers a llarg termini, cartera de negociació",2550,asset_fixed,False
account_full_2553,"Actius per derivats financers a llarg termini, instruments de cobertura",2553,asset_fixed,False
account_full_257,Drets de reemborsament derivats de contractes d’assegurança relatius a retribucions a llarg termini al personal,257,asset_fixed,False
account_full_466,Remuneracions mitjançant sistemes d’aportació definida pendents de pagament,466,liability_payable,True
account_full_490,Deteriorament de valor de crèdits per operacions comercials,490,liability_current,False
account_full_501,Obligacions i bons convertibles a curt termini,501,liability_current,False
account_common_502,Accions o participacions a curt termini considerades passius financers,502,liability_current,False
account_full_5091,Obligacions i bons convertibles amortitzats,5091,liability_current,True
account_common_521,Deutes a curt termini,521,liability_current,False
account_common_526,Dividend actiu a pagar,526,liability_payable,True
account_full_5296,Provisió a curt termini per a reestructuracions,5296,liability_current,True
